job,block,n,category,arm,tfhe_key,sequence,phase,expected_id,query_seconds,decoded_id,input_index,absolute_error,max_other_slots,decryption_seconds,encryption_seconds,stage_score_seconds,stage_layout_seconds,stage_comparison_seconds,stage_product_seconds,stage_output_seconds
09-block2-n128-tfhe-after,2,128,aligned,tfhe-after,2,9,measured,128,2.870331,128,31,,,,,,,,,
09-block2-n128-tfhe-after,2,128,general,tfhe-after,2,10,measured,128,2.709496583,128,37,,,,,,,,,
09-block2-n128-tfhe-after,2,128,mixed,tfhe-after,2,11,measured,128,3.09964175,128,43,,,,,,,,,
10-block2-n64-tfhe-before,2,64,mixed,tfhe-before,2,0,warmup,64,1.62444775,64,21,,,,,,,,,
10-block2-n64-tfhe-before,2,64,general,tfhe-before,2,1,warmup,64,1.510468375,64,15,,,,,,,,,
10-block2-n64-tfhe-before,2,64,aligned,tfhe-before,2,2,warmup,64,1.462743333,64,9,,,,,,,,,
10-block2-n64-tfhe-before,2,64,mixed,tfhe-before,2,3,measured,64,1.622028375,64,23,,,,,,,,,
10-block2-n64-tfhe-before,2,64,general,tfhe-before,2,4,measured,64,1.43519125,64,17,,,,,,,,,
10-block2-n64-tfhe-before,2,64,aligned,tfhe-before,2,5,measured,64,1.528072084,64,11,,,,,,,,,
10-block2-n64-tfhe-before,2,64,mixed,tfhe-before,2,6,measured,64,1.631987584,64,24,,,,,,,,,
10-block2-n64-tfhe-before,2,64,general,tfhe-before,2,7,measured,64,1.547062291,64,18,,,,,,,,,
10-block2-n64-tfhe-before,2,64,aligned,tfhe-before,2,8,measured,64,1.422202,64,12,,,,,,,,,
10-block2-n64-tfhe-before,2,64,mixed,tfhe-before,2,9,measured,64,1.589191042,64,25,,,,,,,,,
10-block2-n64-tfhe-before,2,64,general,tfhe-before,2,10,measured,64,1.529534458,64,19,,,,,,,,,
10-block2-n64-tfhe-before,2,64,aligned,tfhe-before,2,11,measured,64,1.463360958,64,13,,,,,,,,,
11-block2-n64-ckks,2,64,mixed,ckks,2,0,warmup,64,3.147509667,64,,0.0002465990369131532,1.3571442650652297e-05,0.011128375,0.085601084,0.729676292,0.839860666,1.390804958,0.110204875,0.076962542
11-block2-n64-ckks,2,64,general,ckks,2,1,warmup,64,3.033254334,64,,9.170230765676024e-05,1.1728264096121293e-05,0.010781125,0.07362475,0.649850334,0.811765333,1.38703375,0.110085,0.074519542
11-block2-n64-ckks,2,64,aligned,ckks,2,2,warmup,64,3.061341708,64,,0.0006430666149981334,1.4530162464810991e-05,0.008809209,0.076072667,0.640808083,0.801441042,1.427065291,0.114339625,0.077687458
11-block2-n64-ckks,2,64,mixed,ckks,2,3,measured,64,3.094090541,64,,0.0003436124478639613,3.3319677219626755e-06,0.007051625,0.076141125,0.656527083,0.804863583,1.430602,0.120409125,0.081688375
11-block2-n64-ckks,2,64,general,ckks,2,4,measured,64,3.085726833,64,,0.0004526259724286774,1.9480174963815944e-06,0.008916209,0.078578209,0.67713925,0.834280416,1.386878792,0.1096595,0.077768625
11-block2-n64-ckks,2,64,aligned,ckks,2,5,measured,64,3.050888667,64,,0.0003268942837735267,4.020431202522374e-06,0.010612,0.07521425,0.646639042,0.807696125,1.407735584,0.110286375,0.078531375
11-block2-n64-ckks,2,64,mixed,ckks,2,6,measured,64,3.15935025,64,,0.0001732471123148116,1.8013819746986887e-06,0.011949209,0.075379542,0.669857708,0.842062708,1.462762875,0.109966041,0.074700625
11-block2-n64-ckks,2,64,general,ckks,2,7,measured,64,3.152474792,64,,0.0013333235229566753,1.0636119453655346e-05,0.010264042,0.077805208,0.673377375,0.858650125,1.435772792,0.109040459,0.075633708
11-block2-n64-ckks,2,64,aligned,ckks,2,8,measured,64,3.030505833,64,,8.763883587903365e-05,1.5283592356070455e-06,0.008942042,0.074975667,0.641516833,0.814774209,1.388661709,0.109410458,0.076142416
11-block2-n64-ckks,2,64,mixed,ckks,2,9,measured,64,3.07569725,64,,0.0002520681417479409,6.4656108237349726e-06,0.007880375,0.076649916,0.640576083,0.810557958,1.433726791,0.113789333,0.077046583
11-block2-n64-ckks,2,64,general,ckks,2,10,measured,64,3.05819525,64,,0.0007875117736233506,1.5791670145876754e-05,0.010009041,0.079007833,0.664639416,0.82431275,1.385298167,0.108477792,0.075466791
11-block2-n64-ckks,2,64,aligned,ckks,2,11,measured,64,3.103053084,64,,0.00015328278351489644,9.520121151932025e-06,0.006604792,0.075491291,0.63517375,0.836449084,1.445907,0.11091925,0.074603542
12-block2-n64-tfhe-after,2,64,mixed,tfhe-after,2,0,warmup,64,1.523803875,64,21,,,,,,,,,
12-block2-n64-tfhe-after,2,64,general,tfhe-after,2,1,warmup,64,1.364560291,64,15,,,,,,,,,
12-block2-n64-tfhe-after,2,64,aligned,tfhe-after,2,2,warmup,64,1.352076625,64,9,,,,,,,,,
12-block2-n64-tfhe-after,2,64,mixed,tfhe-after,2,3,measured,64,1.469670083,64,23,,,,,,,,,
12-block2-n64-tfhe-after,2,64,general,tfhe-after,2,4,measured,64,1.315601041,64,17,,,,,,,,,
12-block2-n64-tfhe-after,2,64,aligned,tfhe-after,2,5,measured,64,1.354148209,64,11,,,,,,,,,
12-block2-n64-tfhe-after,2,64,mixed,tfhe-after,2,6,measured,64,1.544088958,64,24,,,,,,,,,
12-block2-n64-tfhe-after,2,64,general,tfhe-after,2,7,measured,64,1.354633334,64,18,,,,,,,,,
12-block2-n64-tfhe-after,2,64,aligned,tfhe-after,2,8,measured,64,1.362695958,64,12,,,,,,,,,
12-block2-n64-tfhe-after,2,64,mixed,tfhe-after,2,9,measured,64,1.469888208,64,25,,,,,,,,,
